Object,Category,SpecType,R band (mag),Distance (pc),"Disk Major Axis """,Disk Diameter (AU),Inclination (degrees),RA (J2000),DEC (J2000),Star-Forming Region,Class,Fractional Infrared Luminosity
WL 16,HAe,B8-A7,140,7,980,62,43.8,44 16 27,-24 37 27.2,,,0.16
WL 18,TT,K6.5,19.3,133,0.103,21,0.5,16 26 48.96,-24 38 25.1,Ophiuchus,,0.2
WL 20 S,YSO,,140,0.59,82.6,0.3,1330,16 27 15.72,-24 38 46,,,2
WL 3,YSO,K7,140,0.21,0,1.1,1300,16 27 19.20,-24 28 43.8,Ophiuchus,,0.2
WSB 38,TT,G5,13.9,110,0.132,0,0.7,37 16 26,-24 11 59.9,Ophiuchus,,0.2
WSB 52,TT,M0,15.8,136,0.47,54,15.7,27 16 27,-24 39 15.5,Ophiuchus II,,0.03
WSB 60,TT,M4.5,16.6,137,1.01,22,30.6,16 28 16.65,-24 36 57.5,Ophiuchus,,0.033
WSB 63,TT,M2,15.2,138,0.172,0,0.9,16 28 54.06,-24 47 44.3,Ophiuchus,,0.2
WSB 67,TT,,13.2,145,0.153,45,0.8,16 30 23.39,-24 54 16.1,Ophiuchus,,0.2
WSB 82,TT,,11.5,156,1.64,61,60.7,16 39 45.4,-24 02 03.9,Ophiuchus,,0.027
WW Cha,TT,K5,13.3,160,1.32,211.2,0.5,22 11 10,-76 34 57.9,,,2.5
zeta Lep,Debris,A0 V,3.4,21.6,0.28,6,30,05 46 57.34,-14 49 19.0,,,0.00011
[MR81] H alpha 17 NE,TT,M2e,16.9,150,0.38,57,20,19 10 43.4,-36 59 09,,,0.13
